운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2019-01-03,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-01-03,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-01-10,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-01-10,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-01-17,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-01-17,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-01-31,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-01-31,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-02-07,하,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2019-02-07,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-02-14,상,무궁화,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2019-02-14,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-02-21,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-02-21,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-02-28,상,무궁화,부정기,연무대,09:10:00,춘천,15:10:00,건설,호남선,목요일
2019-02-28,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-03-07,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-03-07,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
2019-03-14,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-03-14,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2019-03-21,상,무궁화,부정기,연무대,09:10:00,춘천,15:28:00,건설,호남선,목요일
2019-03-21,하,무궁화,부정기,연무대,09:42:00,장성,11:13:00,건설,호남선,목요일
